,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,True,0.135,0.12759031,0.0
3460,False,True,0.34,0.035425633,0.0
3532,False,False,0.0,0.10212469,0.0
4065,False,False,0.13,0.07632634,0.0
8449,False,False,0.02,0.013305226,0.0
8754,False,False,0.075,0.90034384,0.0
8807,False,False,0.1,0.07428198,0.0
8812,False,False,0.075,0.08326455,0.0
13109,True,False,0.15,0.1055252,0.0
13358,True,True,0.38,0.03091472,1.0
13423,True,True,0.83,0.17867799,1.0
14014,True,True,0.425,0.43224856,1.0
14215,False,False,0.2,0.15834916,0.0
14463,False,False,0.21,0.059261393,0.0
14527,False,False,0.72,0.17328185,1.0
15135,False,True,0.325,0.07292155,1.0
19929,False,False,0.14,0.16134787,0.0
20177,False,False,0.17,0.025552232,0.0
20249,False,False,0.01,0.1021326,0.0
20771,False,False,0.255,0.016972467,0.0
20968,False,False,0.02,0.05052708,0.0
21210,False,True,0.16,0.11675431,0.0
21413,False,False,0.025,0.012920459,0.0
22501,False,False,0.045,0.090487815,0.0
22965,False,False,0.255,0.116164185,0.0
23211,False,True,0.2,0.001032503,0.0
23284,False,False,0.005,0.0035804787,0.0
23496,False,False,0.13,0.06298902,0.0
24712,False,False,0.015,0.08408742,0.0
24958,False,False,0.045,0.031835597,0.0
25032,False,False,0.0,0.033525955,0.0
25566,False,False,0.035,0.012264512,0.0
28898,False,False,0.255,0.20338538,1.0
29145,False,True,0.275,0.016432071,0.0
29217,False,False,0.0,0.09555834,0.0
29744,False,False,0.17,0.07007836,0.0
29942,False,True,0.215,0.19943777,0.0
30189,False,False,0.315,0.054130323,0.0
30261,False,False,0.005,0.09312547,0.0
30787,False,False,0.21,0.14846492,0.0
32038,False,False,0.26,0.13805011,0.0
32285,False,False,0.375,0.03266477,0.0
32357,False,False,0.0,0.032934517,0.0
32886,False,False,0.285,0.040440176,0.0
36229,False,False,0.2,0.16580547,0.0
36476,False,False,0.2,0.006349615,0.0
36549,False,False,0.005,0.062207084,0.0
37078,False,False,0.19,0.027136667,0.0
40433,False,False,0.18,0.10338978,0.0
40683,False,True,0.225,0.03740446,0.0
40755,False,False,0.01,0.09348168,0.0
41286,False,False,0.195,0.07996015,0.0
42526,False,False,0.245,0.23924103,0.0
42773,False,False,0.32,0.026866788,0.0
42845,False,False,0.0,0.1120507,0.0
43375,False,False,0.145,0.020599717,0.0
45675,False,False,0.14,0.10828977,0.0
45923,False,False,0.35,0.0017853377,0.0
45996,False,False,0.0,0.088543355,0.0
46520,False,False,0.465,0.10566561,0.0
55101,False,True,0.29,0.08835546,0.0
55346,False,False,0.4,0.004589988,0.0
55419,False,False,0.015,0.114525124,0.0
55952,False,False,0.135,0.096261196,0.0
58252,False,False,0.0,0.012067519,0.0
58499,False,False,0.0,0.0042198705,0.0
58572,False,False,0.0,0.05913017,0.0
59107,False,False,0.005,0.031650096,0.0
62460,False,False,0.0,0.0272839,0.0
62709,False,False,0.0,0.006248629,0.0
62782,False,False,0.0,0.052095886,0.0
63309,False,False,0.0,0.00011823533,0.0
66646,False,False,0.0,0.04147876,0.0
66894,False,False,0.0,0.0016759608,0.0
