,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.0,0.00032309775,0.0
3460,False,False,0.04,0.04068497,0.0
3532,False,False,0.005,0.012536478,0.0
4065,False,False,0.325,0.08191425,0.0
8449,False,False,0.01,0.00022929415,0.0
8754,False,False,0.045,0.0025462343,0.0
8807,False,False,0.025,0.46019503,0.0
8812,False,False,0.035,0.19764124,0.0
13109,False,False,0.025,0.0007752915,0.0
13358,False,False,0.055,0.1123251,0.0
13423,False,False,0.0,0.13528338,0.0
14014,False,False,0.135,0.08164072,0.0
14215,False,False,0.02,0.00032218097,0.0
14463,False,False,0.11,0.1851011,0.0
14527,False,False,0.0,0.1417672,0.0
15135,False,False,0.19,0.13831192,0.0
19929,False,False,0.005,0.00027839286,0.0
20177,False,False,0.04,0.06629948,0.0
20249,False,False,0.015,0.019450074,0.0
20771,False,False,0.21,0.053465173,0.0
20968,False,False,0.23,0.00037006225,0.0
21210,False,False,0.18,0.09730101,0.0
21413,False,False,0.05,0.01872358,0.0
22501,False,False,0.025,0.062398758,0.0
22965,False,False,0.005,0.000778714,0.0
23211,False,False,0.11,0.28556144,0.0
23284,False,False,0.12,0.0016053641,0.0
23496,False,False,0.245,0.08090341,0.0
24712,False,False,0.07,0.07367851,0.0
24958,False,False,0.375,0.021897089,0.0
25032,False,False,0.46,0.4487739,0.0
25566,False,False,0.05,0.1290538,0.0
28898,False,False,0.0,0.00038242122,0.0
29145,False,False,0.035,0.086361535,0.0
29217,False,False,0.0,0.0106481705,0.0
29744,False,False,0.345,0.07891003,0.0
29942,False,False,0.0,0.0008720218,0.0
30189,False,False,0.035,0.046538528,0.0
30261,False,False,0.025,0.02567891,0.0
30787,False,False,0.265,0.09781575,0.0
32038,False,False,0.0,0.00057931565,0.0
32285,False,False,0.025,0.1216686,0.0
32357,False,False,0.03,0.010393964,0.0
32886,False,True,0.14,0.053699285,0.0
36229,False,False,0.0,0.00074625626,0.0
36476,False,False,0.06,0.09640615,0.0
36549,False,False,0.025,0.030458182,0.0
37078,False,False,0.2,0.047421023,0.0
40433,False,False,0.0,0.0003002167,0.0
40683,False,False,0.05,0.055399515,0.0
40755,False,False,0.01,0.025118575,0.0
41286,False,False,0.265,0.11804278,0.0
42526,False,False,0.0,0.000654515,0.0
42773,False,False,0.05,0.08367783,0.0
42845,False,False,0.0,0.030027442,0.0
43375,False,False,0.39,0.07325815,0.0
45675,False,False,0.005,0.00020793558,0.0
45923,False,False,0.045,0.03640151,0.0
45996,False,False,0.02,0.039237928,0.0
46520,False,False,0.13,0.13165984,0.0
55101,False,False,0.01,0.00047284178,0.0
55346,False,False,0.02,0.23447648,0.0
55419,False,False,0.015,0.019625535,0.0
55952,False,True,0.35,0.22397584,0.0
58252,False,False,0.0,0.006938195,0.0
58499,False,False,0.0,0.07356042,0.0
58572,False,False,0.0,0.25091755,0.0
59107,False,False,0.005,0.07096222,0.0
62460,False,False,0.0,0.010327884,0.0
62709,False,False,0.0,0.1544278,0.0
62782,False,False,0.0,0.16156548,0.0
63309,False,False,0.0,0.014094713,0.0
66646,False,False,0.0,0.10435718,0.0
66894,False,False,0.0,0.021159144,0.0
66967,False,False,0.0,0.08469667,0.0
67494,False,False,0.005,0.021216994,0.0
67691,False,False,0.0,0.01166777,0.0
67938,False,False,0.0,0.13861908,0.0
68011,False,False,0.0,0.19552411,0.0
68541,False,False,0.005,0.01336835,0.0
71892,False,False,0.0,0.008402675,0.0
72141,False,False,0.0,0.10863187,0.0
72213,False,False,0.0,0.1373069,0.0
72744,False,False,0.005,0.08509693,0.0
79241,False,False,0.0,0.119396165,0.0
79489,False,False,0.0,0.074459665,0.0
79562,False,False,0.0,0.14030619,0.0
80089,False,False,0.005,0.018683689,0.0
80286,False,False,0.05,0.035625685,0.0
80533,False,True,0.355,0.42633185,0.0
80606,False,False,0.245,0.35710892,0.0
81140,False,False,0.045,0.17713961,0.0
81340,False,False,0.03,0.055172376,0.0
81587,False,True,0.245,0.4338754,0.0
81659,False,False,0.315,0.43083233,0.0
82189,False,False,0.07,0.21205191,0.0
86574,False,False,0.04,0.044626646,0.0
86822,False,True,0.41,0.14490104,0.0
86894,False,False,0.32,0.34284022,0.0
87429,False,False,0.0,0.32137722,0.0
88677,False,False,0.03,0.036772627,0.0
88925,False,False,0.285,0.040067546,0.0
88998,False,False,0.345,0.38947892,0.0
89522,False,False,0.055,0.12873662,0.0
89719,False,False,0.02,0.033717368,0.0
89966,False,False,0.34,0.24181381,0.0
90038,False,False,0.335,0.3372142,0.0
90564,False,False,0.01,0.10794992,0.0
93907,False,False,0.01,0.022444729,0.0
94155,False,False,0.39,0.03711713,0.0
94227,False,False,0.46,0.21434157,0.0
94752,False,False,0.02,0.12070026,0.0
97040,False,False,0.135,0.059669767,0.0
97286,False,False,0.295,0.36103544,0.0
97359,False,False,0.38,0.3466396,0.0
97887,False,False,0.025,0.37115672,0.0
98086,False,False,0.05,0.0388331,0.0
98334,False,False,0.395,0.10458264,0.0
98406,False,False,0.365,0.26055703,0.0
98939,False,False,0.02,0.29541078,0.0
99134,False,False,0.05,0.036117017,0.0
99382,False,True,0.395,0.16426289,0.0
99455,False,False,0.345,0.45628375,1.0
99989,False,False,0.03,0.36902905,0.0
100185,False,False,0.025,0.06277676,0.0
100434,False,True,0.485,0.31399924,0.0
100506,False,False,0.42,0.3071224,0.0
101034,False,False,0.02,0.12872535,0.0
104363,True,True,0.9,0.93198097,1.0
104609,True,True,0.56,0.64872855,1.0
104681,True,True,0.56,0.21222204,1.0
105202,True,True,0.38,0.14115685,1.0
112739,True,True,0.895,0.88016707,1.0
112987,True,True,0.29,0.41510886,1.0
113060,True,True,0.645,0.39420375,1.0
113589,True,True,0.39,0.41838297,1.0
113785,True,True,0.94,0.924982,1.0
114034,True,True,0.45,0.10208899,1.0
114108,True,False,0.735,0.5350042,1.0
114631,True,True,0.51,0.16796018,1.0
121126,True,True,0.965,0.90733886,1.0
121375,True,False,0.4,0.054144006,1.0
121449,True,False,0.565,0.33947647,1.0
121972,True,True,0.25,0.29820305,1.0
124305,False,False,0.0,0.0005014362,0.0
124554,False,False,0.055,0.030985897,0.0
124620,False,False,0.005,0.013184407,0.0
125212,False,False,0.1,0.07087952,0.0
128725,False,False,0.0,0.0005485592,0.0
128975,False,False,0.05,0.00024893938,0.0
129041,False,False,0.0,0.04856583,0.0
129640,False,False,0.155,0.07445004,0.0
130948,False,False,0.0,0.0003878416,0.0
131195,False,False,0.05,0.000752922,0.0
131261,False,False,0.0,0.047092944,0.0
131852,False,False,0.22,0.082068786,0.0
139801,False,False,0.0,0.00064040493,0.0
140048,False,False,0.035,0.00041452402,0.0
140114,False,False,0.0,0.061920214,0.0
140710,False,False,0.135,0.0997481,0.0
142013,False,False,0.0,0.00087045727,0.0
142262,False,False,0.03,0.0061324006,0.0
142329,False,False,0.0,0.03480498,0.0
142916,False,False,0.165,0.072154954,0.0
145341,False,False,0.0,0.00069655763,0.0
145588,False,False,0.03,0.045980915,0.0
145653,False,False,0.01,0.050541736,0.0
146246,False,False,0.16,0.079143405,0.0
152520,False,False,0.0,0.0003099637,0.0
152768,False,False,0.005,0.0024020523,0.0
152833,False,False,0.0,0.015374567,0.0
153438,False,False,0.0,0.08854946,0.0
153633,False,False,0.0,0.0007556432,0.0
153882,False,False,0.005,0.08260855,0.0
153947,False,False,0.0,0.03461057,0.0
154558,False,False,0.0,0.10929211,0.0
155872,False,False,0.0,0.00041994054,0.0
156120,False,False,0.0,0.05998848,0.0
156185,False,False,0.0,0.029554427,0.0
156790,False,False,0.0,0.09207915,0.0
162531,False,False,0.0,0.00019214889,0.0
162779,False,False,0.0,0.021883568,0.0
162843,False,False,0.0,0.014315314,0.0
163448,False,False,0.0,0.120592505,0.0
165877,False,False,0.0,0.00032745837,0.0
166126,False,False,0.005,0.013587581,0.0
166191,False,False,0.0,0.016867056,0.0
166796,False,False,0.0,0.12500978,0.0
175337,False,False,0.005,0.00022102936,0.0
175585,False,False,0.0,0.029996613,0.0
175652,False,False,0.0,0.0011098889,0.0
176148,False,False,0.0,0.038123243,0.0
177344,False,False,0.005,0.00066156074,0.0
177591,False,False,0.0,0.00021627749,0.0
177659,False,False,0.0,0.00042994128,0.0
178159,False,False,0.0,0.040023774,0.0
182385,False,False,0.0,0.0002701735,0.0
182631,False,False,0.005,0.014659811,0.0
182698,False,False,0.0,0.003662393,0.0
183189,False,False,0.0,0.025852604,0.0
184387,False,False,0.005,0.00059311604,0.0
184636,False,False,0.0,0.023619602,0.0
184705,False,False,0.005,0.004660307,0.0
185193,False,False,0.0,0.049388863,0.0
185391,False,False,0.0,0.00011391128,0.0
185639,False,False,0.015,0.0013907953,0.0
185707,False,False,0.01,0.0025908772,0.0
186202,False,False,0.0,0.06751545,0.0
186396,False,False,0.0,0.00023355673,0.0
186644,False,False,0.01,0.0043433113,0.0
186712,False,False,0.0,0.0068618474,0.0
187205,False,False,0.0,0.09773638,0.0
189417,False,False,0.0,0.0005780704,0.0
189663,False,False,0.0,0.006766482,0.0
189731,False,False,0.0,0.00159046,0.0
190225,False,False,0.0,0.10351155,0.0
190420,False,False,0.03,0.009479572,0.0
190667,False,False,0.06,0.09739523,0.0
190739,False,False,0.0,5.582079e-05,0.0
191258,False,False,0.0,0.0832436,0.0
193468,False,False,0.065,0.0020428295,0.0
193701,False,False,0.005,0.0017866667,0.0
193774,False,False,0.035,3.4820667e-05,0.0
194280,False,False,0.0,0.107680045,0.0
194476,False,False,0.045,0.001206689,0.0
194706,False,False,0.015,0.0104842335,0.0
194778,False,False,0.055,2.6896614e-05,0.0
195291,False,False,0.0,0.13360755,0.0
195486,False,False,0.065,0.0026355428,0.0
195722,False,False,0.0,0.0020637012,0.0
195795,False,False,0.02,1.5274944e-05,0.0
196300,False,False,0.0,0.10585095,0.0
202668,False,False,0.005,0.0007509001,0.0
202914,False,False,0.005,0.020082997,0.0
202987,False,False,0.015,1.7114367e-05,0.0
203499,False,False,0.0,0.019427948,0.0
203697,False,False,0.0,0.0007477186,0.0
203945,False,False,0.0,0.0076139546,0.0
204018,False,False,0.015,2.5026617e-05,0.0
204540,False,False,0.0,0.0037871294,0.0
210919,False,False,0.005,0.00046394346,0.0
211166,False,False,0.025,0.005247683,0.0
211240,False,False,0.03,0.00034566596,0.0
211746,False,False,0.0,0.038681287,0.0
214158,False,False,0.0,0.0011241924,0.0
214462,False,False,0.005,0.00444873,0.0
214534,False,False,0.0,0.0067155827,0.0
215062,False,False,0.0,0.040864136,0.0
228539,False,False,0.0,0.0004238272,0.0
228845,False,False,0.005,0.0067451075,0.0
228917,False,False,0.0,0.012219768,0.0
229450,False,False,0.0,0.0931396,0.0
229648,False,False,0.005,0.0005010539,0.0
229955,False,False,0.02,0.0143362535,0.0
230028,False,False,0.0,0.019457338,0.0
230558,False,False,0.0,0.100283846,0.0
234082,False,False,0.0,0.0010025158,0.0
234386,False,False,0.045,0.011166874,0.0
234457,False,False,0.02,0.031222457,0.0
234985,False,False,0.0,0.17673309,0.0
235181,False,False,0.015,0.005755893,0.0
235422,False,False,0.0,0.0076148612,0.0
235494,False,False,0.0,0.034082133,0.0
236023,False,False,0.0,0.084268816,0.0
240408,False,False,0.0,0.00045258022,0.0
240657,False,False,0.0,0.06705347,0.0
240729,False,False,0.0,0.016920917,0.0
241263,False,False,0.0,0.088248976,0.0
241461,False,False,0.0,0.00017561893,0.0
241709,False,False,0.0,0.12581773,0.0
241782,False,False,0.0,0.013473711,0.0
242326,False,False,0.01,0.014540716,0.0
242509,False,False,0.0,0.00020390816,0.0
242757,False,False,0.005,0.0053923675,0.0
242829,False,False,0.01,0.019164514,0.0
243440,False,False,0.0,0.012674543,0.0
243560,False,False,0.0,0.00016188521,0.0
243808,False,False,0.01,0.14548749,0.0
243882,False,False,0.0,0.031955674,0.0
244415,False,False,0.0,0.06419417,0.0
245662,False,False,0.02,0.00052183785,0.0
245911,False,False,0.005,0.032525524,0.0
245989,False,False,0.01,0.0067984797,0.0
246514,False,False,0.0,0.07449855,0.0
246713,False,False,0.0,0.0001699898,0.0
246961,False,False,0.005,0.08733127,0.0
247033,False,False,0.0,0.027779348,0.0
247566,False,False,0.0,0.10035402,0.0
249867,False,False,0.0,0.00012478912,0.0
250115,False,False,0.0,0.05771509,0.0
250187,False,False,0.01,0.007622302,0.0
250727,False,False,0.0,0.17972799,0.0
259318,False,False,0.005,0.0002915252,0.0
259627,False,False,0.0,0.00068494485,0.0
259699,False,False,0.0,0.013050869,0.0
260234,False,False,0.0,0.0695391,0.0
