,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.035,0.16811223,0.0
3460,False,False,0.07,0.024653533,0.0
3532,False,False,0.0,0.016329069,0.0
4065,False,False,0.04,0.09655826,0.0
8449,False,False,0.015,0.0059479857,0.0
8754,False,False,0.025,0.0062401313,0.0
8807,False,False,0.005,0.00071800634,0.0
8812,False,False,0.005,0.030640202,0.0
13109,False,False,0.17,0.12969033,0.0
13358,False,False,0.05,0.009823371,0.0
13423,False,False,0.005,0.03337608,0.0
14014,False,False,0.015,0.07132894,0.0
14215,False,False,0.125,0.19553511,0.0
14463,False,False,0.05,0.06454969,0.0
14527,False,False,0.0,0.0055287527,0.0
15135,False,False,0.015,0.104524754,0.0
19929,False,False,0.135,0.17925753,0.0
20177,False,False,0.055,0.0068983296,0.0
20249,False,False,0.01,0.04692321,0.0
20771,False,False,0.035,0.13494174,0.0
20968,False,False,0.07,0.13892888,0.0
21210,False,False,0.15,0.0013647227,0.0
21413,False,True,0.57,0.50790024,1.0
22501,False,True,0.025,0.10892422,0.0
22965,False,False,0.075,0.111611985,0.0
23211,False,False,0.055,0.0008601415,0.0
23284,False,False,0.26,0.53191316,0.0
23496,False,True,0.08,0.15528129,0.0
24712,False,False,0.01,0.0021635036,0.0
24958,False,False,0.015,0.35383564,0.0
25032,False,False,0.005,0.0027046916,0.0
25566,False,False,0.005,0.023582505,0.0
28898,False,False,0.14,0.18494835,0.0
29145,False,False,0.025,0.034293883,0.0
29217,False,False,0.0,0.040698364,0.0
29744,False,False,0.035,0.11373192,0.0
29942,False,False,0.095,0.116792,0.0
30189,False,False,0.035,0.0039021457,0.0
30261,False,False,0.02,0.0898111,0.0
30787,False,False,0.025,0.106031574,0.0
32038,False,True,0.105,0.16835816,0.0
32285,False,False,0.065,0.0033189622,0.0
32357,False,False,0.0,0.17886746,0.0
32886,False,False,0.025,0.14294375,0.0
36229,False,False,0.16,0.13983087,0.0
36476,False,False,0.06,0.002729035,0.0
36549,False,False,0.0,0.10909513,0.0
37078,False,False,0.02,0.15853173,0.0
40433,False,False,0.085,0.31231996,0.0
40683,False,False,0.045,0.004501248,0.0
40755,False,False,0.0,0.118726626,0.0
41286,False,False,0.03,0.12223564,0.0
42526,False,False,0.09,0.16727635,0.0
42773,False,False,0.045,0.003838329,0.0
42845,False,False,0.0,0.009631984,0.0
43375,False,False,0.02,0.108352706,0.0
45675,False,False,0.065,0.2333558,0.0
45923,False,False,0.025,0.015824148,0.0
45996,False,False,0.0,0.010573669,0.0
46520,False,False,0.02,0.047765184,0.0
55101,False,False,0.065,0.18495573,0.0
55346,False,False,0.01,0.0023557935,0.0
55419,False,False,0.0,0.007828138,0.0
55952,False,False,0.025,0.0635563,0.0
58252,False,False,0.0,0.037382327,0.0
58499,False,False,0.0,0.10278479,0.0
58572,False,False,0.0,0.008299221,0.0
59107,False,False,0.0,0.051781435,0.0
62460,False,False,0.0,0.03462296,0.0
62709,False,False,0.0,0.049462367,0.0
62782,False,False,0.0,0.030514546,0.0
63309,False,False,0.01,0.0014042916,0.0
66646,False,False,0.0,0.0046946914,0.0
66894,False,False,0.0,0.099004224,0.0
66967,False,False,0.0,0.044446476,0.0
67494,False,False,0.015,0.0019743687,0.0
67691,False,False,0.0,0.0381117,0.0
67938,False,False,0.0,0.03485023,0.0
68011,False,False,0.0,0.014517996,0.0
68541,False,False,0.0,0.0012421418,0.0
71892,False,False,0.0,0.048579082,0.0
72141,False,False,0.0,0.034579236,0.0
72213,False,False,0.005,0.053634126,0.0
72744,False,False,0.005,0.1422329,0.0
79241,False,False,0.0,0.004987395,0.0
79489,False,False,0.0,0.14762428,0.0
79562,False,False,0.0,0.022929894,0.0
80089,False,False,0.0,0.0010741226,0.0
80286,False,False,0.0,0.0037781151,0.0
80533,False,False,0.005,0.005627881,0.0
80606,False,False,0.005,0.008497759,0.0
