,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.01,0.11157604,0.0
3460,False,False,0.06,0.1309581,0.0
3532,False,False,0.095,0.05862207,0.0
4065,False,False,0.01,0.14172976,0.0
8449,False,False,0.01,0.030076293,0.0
8754,False,False,0.0,0.012533041,0.0
8807,False,False,0.14,0.000425198,0.0
8812,False,False,0.03,0.018246213,0.0
13109,False,False,0.005,0.18097407,0.0
13358,False,False,0.05,0.11389306,0.0
13423,False,False,0.02,0.0651931,0.0
14014,False,False,0.045,0.047424413,0.0
14215,False,False,0.005,0.14848556,0.0
14463,False,False,0.03,0.18187997,0.0
14527,False,False,0.015,0.089334145,0.0
15135,False,False,0.05,0.031297255,0.0
19929,True,False,0.07,0.11406479,0.0
20177,True,False,0.085,0.07034578,0.0
20249,True,False,0.03,0.1424255,0.0
20771,True,False,0.055,0.11060073,0.0
20968,False,False,0.08,0.028937584,0.0
21210,False,False,0.165,0.033962846,0.0
21413,False,False,0.055,0.03177614,0.0
22501,False,False,0.0,0.10882994,0.0
22965,False,False,0.025,0.12175853,0.0
23211,False,False,0.07,0.086523585,0.0
23284,False,False,0.03,0.09466885,0.0
23496,False,False,0.0,0.08831922,0.0
24712,False,False,0.0,0.008526796,0.0
24958,False,False,0.01,0.26760215,0.0
25032,False,False,0.0,0.008246755,0.0
25566,False,False,0.0,0.013598487,0.0
28898,False,False,0.0,0.18259501,0.0
29145,False,False,0.01,0.07975586,0.0
29217,False,False,0.02,0.08081422,0.0
29744,False,False,0.0,0.117524035,0.0
29942,False,False,0.01,0.07613642,0.0
30189,False,False,0.02,0.020268666,0.0
30261,False,False,0.005,0.12844318,0.0
30787,False,False,0.01,0.08198706,0.0
32038,False,False,0.005,0.12692086,0.0
32285,False,False,0.01,0.00897731,0.0
32357,False,False,0.03,0.17968147,0.0
32886,False,False,0.03,0.10709955,0.0
36229,False,False,0.005,0.14560482,0.0
36476,False,False,0.05,0.18056254,0.0
36549,False,False,0.04,0.15565519,0.0
37078,False,False,0.02,0.10212956,0.0
40433,False,False,0.015,0.16742428,0.0
40683,False,False,0.03,0.040098794,0.0
40755,False,False,0.025,0.20722015,0.0
41286,False,False,0.045,0.04499565,0.0
42526,False,False,0.01,0.12846908,0.0
42773,False,False,0.105,0.07386592,0.0
42845,False,False,0.035,0.083791144,0.0
43375,False,False,0.01,0.08253493,0.0
45675,False,False,0.03,0.13202117,0.0
45923,False,False,0.025,0.22744124,0.0
45996,False,False,0.045,0.29231182,0.0
46520,False,False,0.06,0.12258337,0.0
55101,False,False,0.03,0.12861407,0.0
55346,False,False,0.02,0.08306339,0.0
55419,False,False,0.01,0.07681345,0.0
55952,False,False,0.03,0.059630733,0.0
58252,False,False,0.0,0.03744509,0.0
58499,False,False,0.0,0.02365861,0.0
58572,False,False,0.0,0.043233976,0.0
59107,False,False,0.0,0.005783193,0.0
62460,False,False,0.0,0.05059368,0.0
62709,False,False,0.005,0.044521842,0.0
62782,False,False,0.0,0.061362334,0.0
63309,False,False,0.0,8.303153e-05,0.0
66646,False,False,0.0,0.021872012,0.0
66894,False,False,0.0,0.09338101,0.0
66967,False,False,0.0,0.028891314,0.0
