,wahre_labels,nearestneighbour,catch22,shapelets,rocket
108880,False,False,0.02,0.034898065,0.0
109407,False,True,0.38,0.14250316,0.0
109602,False,False,0.015,0.004191987,0.0
109852,False,False,0.11,0.107453585,0.0
109925,False,False,0.02,0.1026684,0.0
110449,False,False,0.455,0.111517414,0.0
113785,False,False,0.01,0.002190138,0.0
114034,False,False,0.095,0.00357961,0.0
114108,False,False,0.03,0.014715032,0.0
114631,False,True,0.25,0.2564285,0.0
114828,False,False,0.02,0.008324535,0.0
115075,False,False,0.08,0.10188658,0.0
115148,False,False,0.04,0.05918804,0.0
115676,False,False,0.41,0.124184415,0.0
119023,False,False,0.0,0.0069527845,0.0
119271,False,False,0.06,0.22004221,0.0
119344,False,False,0.025,0.047994122,0.0
119875,False,False,0.355,0.13022159,0.0
120081,False,False,0.015,0.0025140333,0.0
120323,False,False,0.185,0.1487519,0.0
120394,False,False,0.07,0.06370736,0.0
120928,False,False,0.395,0.08058493,0.0
121126,False,False,0.015,0.0024285736,0.0
121375,False,False,0.15,0.011035356,0.0
121449,False,False,0.075,0.06644576,0.0
121972,False,False,0.51,0.103750534,0.0
122170,False,False,0.03,0.011483852,0.0
122418,False,False,0.065,0.30037412,0.0
122491,False,False,0.035,0.083625525,0.0
123017,False,True,0.39,0.1454842,0.0
130948,False,True,0.36,0.18035631,1.0
131195,False,True,0.435,0.0054175677,0.0
131261,False,False,0.005,0.17766808,0.0
131852,False,False,0.29,0.085414454,0.0
135375,False,True,0.25,0.2410503,0.0
135623,False,True,0.615,0.15473317,1.0
135690,False,False,0.0,0.15441386,0.0
136277,False,False,0.24,0.06819576,0.0
142013,False,False,0.165,0.107077554,0.0
142262,False,False,0.3,0.020294175,0.0
142329,False,False,0.0,0.11991416,0.0
142916,False,False,0.27,0.06689491,0.0
144231,False,False,0.24,0.16493335,1.0
144481,False,True,0.49,0.002025867,1.0
144547,False,False,0.005,0.09199367,0.0
145142,False,False,0.26,0.16206023,0.0
152520,False,False,0.06,0.31755483,0.0
152768,False,False,0.03,0.38801587,0.0
152833,False,False,0.0,0.21239847,0.0
153438,False,False,0.01,0.19867755,0.0
153633,False,False,0.01,0.18098828,0.0
153882,False,False,0.075,0.14300601,0.0
153947,False,False,0.0,0.16601388,0.0
154558,False,False,0.005,0.17079766,0.0
155872,False,False,0.02,0.32663786,0.0
156120,False,False,0.05,0.20962569,0.0
156185,False,False,0.0,0.14866196,0.0
156790,False,False,0.005,0.102722235,0.0
156984,False,False,0.01,0.25009963,0.0
157232,False,False,0.05,0.04846815,0.0
157296,False,False,0.0,0.13365531,0.0
157900,False,False,0.005,0.34340927,0.0
161420,False,False,0.005,0.28811327,0.0
161668,False,False,0.03,0.33357748,0.0
161733,False,False,0.0,0.071709976,0.0
162335,False,False,0.0,0.16104749,0.0
166992,False,False,0.005,0.26091343,0.0
167240,False,False,0.005,0.1348464,0.0
167305,False,False,0.0,0.106978,0.0
167900,False,False,0.03,0.16647144,0.0
172302,False,False,0.025,0.24692482,0.0
172549,False,False,0.02,0.16853933,0.0
172616,False,False,0.0,0.057428498,0.0
173112,False,False,0.0,0.1394266,0.0
175337,False,False,0.005,0.35674852,0.0
175585,False,False,0.015,0.11863649,0.0
175652,False,False,0.0,0.053864438,0.0
176148,False,False,0.005,0.18093051,0.0
180374,False,False,0.005,0.113798454,0.0
180623,False,False,0.03,0.017577386,0.0
180691,False,False,0.005,0.058004357,0.0
181187,False,False,0.0,0.23417868,0.0
182385,False,False,0.015,0.15508972,0.0
182631,False,False,0.02,0.049164806,0.0
182698,False,False,0.0,0.091080196,0.0
183189,False,False,0.0,0.28506815,0.0
192457,False,False,0.035,0.0021471798,0.0
192686,False,False,0.015,0.005810228,0.0
192759,False,False,0.01,0.022312196,0.0
193271,False,False,0.0,0.002823549,0.0
193468,False,False,0.01,0.010755468,0.0
193701,False,False,0.0,0.01387893,0.0
193774,False,False,0.01,0.012847272,0.0
194280,False,False,0.0,0.08662846,0.0
194476,False,False,0.01,0.010319567,0.0
194706,False,False,0.035,0.11600823,0.0
194778,False,False,0.01,0.077885725,0.0
195291,False,False,0.0,0.11856623,0.0
205773,False,False,0.0,0.039586674,0.0
206021,False,False,0.005,0.027906442,0.0
206094,False,False,0.02,0.018110016,0.0
206610,False,False,0.0,0.027038658,0.0
208871,False,False,0.0,0.013077863,0.0
209120,False,False,0.0,0.03176049,0.0
209193,False,False,0.005,0.032487012,0.0
209697,False,False,0.0,0.009141067,0.0
214158,False,False,0.005,0.10051451,0.0
214462,False,False,0.02,0.006350075,0.0
214534,False,False,0.015,0.25029078,0.0
215062,False,False,0.0,0.07220116,0.0
218577,False,False,0.0,0.04529321,0.0
218882,False,False,0.0,0.041107904,0.0
218955,False,False,0.0,0.21337901,0.0
219488,False,False,0.0,0.09289928,0.0
220802,False,False,0.01,0.06446377,0.0
221107,False,False,0.015,0.032211214,0.0
221180,False,False,0.025,0.25701874,0.0
221704,False,False,0.0,0.27080032,0.0
224112,False,False,0.015,0.035484497,0.0
224419,False,False,0.025,0.055025626,0.0
224491,False,False,0.005,0.25331736,0.0
225017,False,False,0.0,0.105970785,0.0
227432,False,False,0.01,0.08343315,0.0
227736,False,False,0.05,0.018045433,0.0
227807,False,False,0.01,0.26967078,0.0
228342,False,False,0.0,0.24695021,0.0
242509,False,False,0.015,0.1629781,0.0
242757,False,False,0.025,0.21667002,0.0
242829,False,False,0.015,0.051574208,0.0
243440,False,False,0.015,0.007451107,0.0
253020,False,False,0.0,0.23059079,0.0
253268,False,False,0.025,0.21024409,0.0
253341,False,False,0.125,0.15967649,0.0
253870,False,False,0.0,0.09223368,0.0
260433,False,False,0.01,0.054569542,0.0
260738,False,False,0.03,0.027122607,0.0
260811,False,False,0.005,0.19341025,0.0
261342,False,False,0.045,0.21507862,0.0
261541,False,False,0.0,0.05661759,0.0
261846,False,False,0.01,0.060830522,0.0
261918,False,False,0.055,0.26724544,0.0
262455,False,False,0.02,0.10001437,0.0
