,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.0,0.037623797,0.0
3460,False,False,0.0,0.046392072,0.0
3532,False,False,0.0,0.04239544,0.0
4065,False,False,0.0,0.02881813,0.0
8449,False,False,0.0,0.011865091,0.0
8754,False,False,0.005,0.009424703,0.0
8807,False,False,0.215,0.058529392,0.0
8812,False,False,0.085,0.07224285,0.0
13109,False,False,0.005,0.06476164,0.0
13358,False,False,0.0,0.028944254,0.0
13423,False,False,0.0,0.1190596,0.0
14014,False,False,0.015,0.015720962,0.0
14215,False,False,0.005,0.058665458,0.0
14463,False,False,0.0,0.058998693,0.0
14527,False,False,0.0,0.069926985,0.0
15135,False,False,0.03,0.021759134,0.0
19929,False,False,0.0,0.032548822,0.0
20177,False,False,0.0,0.015992748,0.0
20249,False,False,0.005,0.17375393,0.0
20771,False,False,0.01,0.019231573,0.0
20968,False,False,0.11,0.4030455,0.0
21210,False,False,0.01,0.032748677,0.0
21413,False,False,0.01,0.17957504,0.0
22501,False,False,0.795,0.23320906,0.0
22965,False,False,0.0,0.08189298,0.0
23211,False,False,0.0,0.011277159,0.0
23284,False,False,0.05,0.121998064,0.0
23496,False,False,0.015,0.01675318,0.0
24712,False,False,0.005,0.15502489,0.0
24958,False,False,0.0,0.2600123,0.0
25032,False,False,0.0,0.2794095,0.0
25566,False,False,0.015,0.035621192,0.0
28898,False,False,0.0,0.07665651,0.0
29145,False,False,0.0,0.086097606,0.0
29217,False,False,0.0,0.047135975,0.0
29744,False,False,0.0,0.029264174,0.0
29942,False,False,0.0,0.060915872,0.0
30189,False,False,0.0,0.015629718,0.0
30261,False,False,0.005,0.07733755,0.0
30787,False,False,0.01,0.022251109,0.0
32038,False,False,0.0,0.07683837,0.0
32285,False,False,0.0,0.04778918,0.0
32357,False,False,0.0,0.054214437,0.0
32886,False,False,0.065,0.01920986,0.0
36229,False,False,0.0,0.10227086,0.0
36476,False,False,0.0,0.014803217,0.0
36549,False,False,0.0,0.072713375,0.0
37078,False,False,0.01,0.015709123,0.0
40433,False,False,0.0,0.08110467,0.0
40683,False,False,0.0,0.012454523,0.0
40755,False,False,0.0,0.09835572,0.0
41286,False,False,0.005,0.015760802,0.0
42526,False,False,0.0,0.07248121,0.0
42773,False,False,0.0,0.02006897,0.0
42845,False,False,0.0,0.041087568,0.0
43375,False,False,0.0,0.017316537,0.0
45675,False,False,0.0,0.042549036,0.0
45923,False,False,0.0,0.027063653,0.0
45996,False,False,0.0,0.059648443,0.0
46520,False,False,0.015,0.037285764,0.0
55101,False,False,0.0,0.09457603,0.0
55346,False,False,0.0,0.034550976,0.0
55419,False,False,0.0,0.04449089,0.0
55952,False,False,0.0,0.02960359,0.0
58252,True,True,0.995,0.65339816,1.0
58499,True,True,1.0,0.5393129,1.0
58572,True,True,1.0,0.28008965,1.0
59107,True,True,0.975,0.7179723,1.0
62460,True,True,0.995,0.36344066,1.0
62709,True,True,0.995,0.47913444,1.0
62782,True,True,0.995,0.38669416,1.0
63309,True,True,0.99,0.91359615,1.0
66646,True,True,1.0,0.46500483,1.0
66894,True,True,0.995,0.39846665,1.0
66967,True,True,0.995,0.4481975,1.0
67494,True,True,0.94,0.8889292,1.0
67691,True,True,0.995,0.58622706,1.0
67938,True,True,0.995,0.19739263,1.0
68011,True,True,1.0,0.32142752,1.0
68541,True,True,0.975,0.91489625,1.0
71892,True,True,1.0,0.42024636,1.0
72141,True,True,1.0,0.5245187,1.0
72213,True,True,0.98,0.48594174,1.0
72744,True,True,0.97,0.6545271,1.0
79241,True,True,1.0,0.56026685,1.0
79489,True,True,1.0,0.33698016,1.0
79562,True,True,0.99,0.38911697,1.0
80089,True,True,0.95,0.8970502,1.0
80286,False,False,0.0,0.16394974,0.0
80533,False,False,0.0,0.06749394,0.0
80606,False,False,0.0,0.21836543,0.0
81140,False,False,0.005,0.03291197,0.0
81340,False,False,0.02,0.17083904,0.0
81587,False,False,0.0,0.019637285,0.0
81659,False,False,0.005,0.14378488,0.0
82189,False,False,0.015,0.033563327,0.0
86574,False,False,0.0,0.10908487,0.0
86822,False,False,0.0,0.0703589,0.0
86894,False,False,0.0,0.11141724,0.0
87429,False,False,0.0,0.03142544,0.0
88677,False,False,0.005,0.11811337,0.0
88925,False,False,0.0,0.018433137,0.0
88998,False,False,0.0,0.1865473,0.0
89522,False,False,0.005,0.027832512,0.0
89719,False,False,0.01,0.22756174,0.0
89966,False,False,0.0,0.13277532,0.0
90038,False,False,0.0,0.17331386,0.0
90564,False,False,0.01,0.032814503,0.0
93907,False,False,0.005,0.14695859,0.0
94155,False,False,0.0,0.11924407,0.0
94227,False,False,0.0,0.1586263,0.0
94752,False,False,0.01,0.039143097,0.0
97040,False,False,0.0,0.1581688,0.0
97286,False,False,0.0,0.0316708,0.0
