,wahre_labels,nearestneighbour,catch22,shapelets,rocket
175585,False,False,0.0,0.02251227,0.0
175652,False,False,0.005,0.0036918123,0.0
176148,False,False,0.0,0.006013986,0.0
177344,False,False,0.0,0.020191737,0.0
177591,False,False,0.0,0.0034017472,0.0
177659,False,False,0.005,0.0027277593,0.0
178159,False,False,0.0,0.008307006,0.0
182385,False,False,0.0,0.010365998,0.0
182631,False,False,0.0,0.019338295,0.0
182698,False,False,0.005,0.00900599,0.0
183189,False,False,0.0,0.013030027,0.0
184387,False,False,0.0,0.02504485,0.0
184636,False,False,0.0,0.030171106,0.0
184705,False,False,0.01,0.014285075,0.0
185193,False,False,0.0,0.0101787085,0.0
185391,False,False,0.0,0.0107877115,0.0
185639,False,False,0.01,0.0012797464,0.0
185707,False,False,0.005,0.0048429775,0.0
186202,False,False,0.0,0.010962079,0.0
186396,False,False,0.0,0.011527865,0.0
186644,False,False,0.0,0.005903149,0.0
186712,False,False,0.0,0.018523976,0.0
187205,False,False,0.0,0.027782941,0.0
189417,False,False,0.0,0.013505046,0.0
189663,False,False,0.015,0.011366277,0.0
189731,False,False,0.015,0.0035011587,0.0
190225,False,False,0.0,0.019208837,0.0
190420,False,False,0.0,0.037256904,0.0
190667,False,False,0.015,0.07607231,0.0
190739,False,False,0.04,0.00019683767,0.0
191258,False,False,0.045,0.29830787,0.0
193468,False,False,0.03,0.048801944,0.0
193701,False,False,0.02,0.00350997,0.0
193774,False,False,0.05,9.333756e-05,0.0
194280,False,False,0.0,0.24475247,0.0
194476,False,False,0.02,0.034597024,0.0
194706,False,False,0.02,0.04511632,0.0
194778,False,False,0.045,8.9035675e-05,0.0
195291,False,False,0.0,0.38695043,0.0
195486,False,False,0.02,0.036435325,0.0
195722,False,False,0.005,0.004591181,0.0
195795,False,False,0.035,4.240366e-05,0.0
196300,False,False,0.0,0.22620311,0.0
202668,False,False,0.005,0.03154884,0.0
202914,False,False,0.01,0.006781982,0.0
202987,False,False,0.03,6.618511e-05,0.0
203499,False,False,0.005,0.10524728,0.0
203697,False,False,0.005,0.07042817,0.0
203945,False,False,0.025,0.0035184163,0.0
204018,False,False,0.02,6.894187e-05,0.0
204540,False,False,0.0,0.009957699,0.0
210919,False,False,0.0,0.029966071,0.0
211166,False,False,0.02,0.005237381,0.0
211240,False,False,0.065,0.00037339152,0.0
211746,False,False,0.0,0.10494998,0.0
214158,False,False,0.0,0.020373838,0.0
214462,False,False,0.0,0.031823352,0.0
214534,False,False,0.0,0.011162945,0.0
215062,False,False,0.0,0.004158061,0.0
228539,False,False,0.0,0.0059374887,0.0
228845,False,False,0.005,0.030639483,0.0
228917,False,False,0.0,0.008272659,0.0
229450,False,False,0.0,0.019415135,0.0
229648,False,False,0.0,0.007563502,0.0
229955,False,False,0.01,0.036496256,0.0
230028,False,False,0.0,0.01185823,0.0
230558,False,False,0.0,0.008860807,0.0
234082,False,False,0.005,0.014077391,0.0
234386,False,False,0.055,0.052073844,0.0
234457,False,False,0.01,0.04325946,0.0
234985,False,False,0.0,0.017155316,0.0
235181,False,False,0.005,0.035944033,0.0
