,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.01,0.002355503,0.0
3460,False,False,0.01,0.024574673,0.0
3532,False,False,0.005,0.0072548375,0.0
4065,False,False,0.0,0.040313974,0.0
8449,False,False,0.04,0.0006757524,0.0
8754,False,False,0.095,0.054235887,0.0
8807,False,False,0.045,0.00042560737,0.0
8812,False,True,0.03,0.11583015,0.0
13109,False,False,0.075,0.0040269364,0.0
13358,False,False,0.06,0.008805281,0.0
13423,False,False,0.01,0.0027585875,0.0
14014,False,False,0.0,0.026641453,0.0
14215,False,False,0.045,0.0047255508,0.0
14463,False,False,0.005,0.008018272,0.0
14527,False,False,0.0,0.005643844,0.0
15135,False,False,0.0,0.0057629636,0.0
19929,False,False,0.015,0.0023803927,0.0
20177,False,False,0.025,0.015894614,0.0
20249,False,False,0.015,0.02575187,0.0
20771,False,False,0.0,0.034332573,0.0
20968,False,False,0.3,0.08804066,1.0
21210,False,False,0.0,0.18696542,0.0
21413,False,False,0.065,0.0018562614,0.0
22501,False,False,0.01,0.10389508,0.0
22965,False,False,0.0,0.012075525,0.0
23211,False,False,0.03,0.013911542,0.0
23284,False,False,0.28,0.080250375,0.0
23496,False,False,0.03,0.0148277655,0.0
24712,False,False,0.02,0.03248398,0.0
24958,False,False,0.015,0.03925099,0.0
25032,False,False,0.015,0.0016177807,0.0
25566,False,False,0.04,0.046832506,0.0
28898,False,False,0.01,0.012409582,0.0
29145,False,False,0.025,0.010738661,0.0
29217,False,False,0.02,0.009483372,0.0
29744,False,False,0.005,0.03883345,0.0
29942,False,False,0.03,0.019241802,0.0
30189,False,False,0.05,0.050535336,0.0
30261,False,False,0.04,0.005222667,0.0
30787,False,False,0.005,0.015052106,0.0
32038,False,False,0.015,0.013308627,0.0
32285,False,False,0.03,0.017771013,0.0
32357,False,False,0.015,0.009286002,0.0
32886,False,False,0.0,0.033817206,0.0
36229,False,False,0.03,0.019638998,0.0
36476,False,False,0.05,0.022583418,0.0
36549,False,False,0.015,0.0067637777,0.0
37078,False,False,0.005,0.027473308,0.0
40433,False,False,0.03,0.0048342925,0.0
40683,False,False,0.025,0.020296395,0.0
40755,False,False,0.0,0.0055478713,0.0
41286,False,False,0.0,0.0038388264,0.0
42526,False,False,0.02,0.015072455,0.0
42773,False,False,0.005,0.030342828,0.0
42845,False,False,0.005,0.008338285,0.0
43375,False,False,0.0,0.03342529,0.0
45675,False,False,0.02,0.002671446,0.0
45923,False,False,0.025,0.01997508,0.0
45996,False,False,0.03,0.0098444335,0.0
46520,False,False,0.0,0.038575657,0.0
55101,False,False,0.025,0.013679542,0.0
55346,False,False,0.12,0.017538646,0.0
55419,False,False,0.005,0.012815965,0.0
55952,False,False,0.0,0.009600266,0.0
58252,False,False,0.005,0.012136444,0.0
58499,False,False,0.0,0.019906424,0.0
58572,False,False,0.0,0.014393468,0.0
59107,False,False,0.005,0.051059354,0.0
62460,False,False,0.005,0.014421109,0.0
62709,False,False,0.0,0.024342049,0.0
62782,False,False,0.0,0.010919266,0.0
63309,False,False,0.0,0.011778831,0.0
66646,False,False,0.0,0.0072104027,0.0
66894,False,False,0.0,0.037209973,0.0
66967,False,False,0.0,0.018998927,0.0
67494,False,False,0.0,0.012133014,0.0
67691,False,False,0.005,0.052044604,0.0
67938,False,False,0.005,0.018596334,0.0
68011,False,False,0.0,0.013939504,0.0
68541,False,False,0.0,0.013043215,0.0
71892,False,False,0.0,0.03335539,0.0
72141,False,False,0.0,0.005526829,0.0
72213,False,False,0.015,0.0066675744,0.0
72744,False,False,0.0,0.012954793,0.0
79241,False,False,0.0,0.015632628,0.0
79489,False,False,0.0,0.014039596,0.0
79562,False,False,0.0,0.0120754065,0.0
80089,False,False,0.0,0.01506477,0.0
80286,False,False,0.015,0.046483,0.0
80533,False,False,0.02,0.010070355,0.0
80606,False,False,0.01,0.00097404525,0.0
81140,False,False,0.03,0.051814303,0.0
81340,False,False,0.015,0.04021063,0.0
