,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,True,False,0.765,0.27302042,1.0
3460,True,False,0.385,0.22000432,1.0
3532,True,False,0.67,0.2048001,1.0
4065,True,True,0.46,0.165211,1.0
8449,False,False,0.015,0.0064214575,0.0
8754,False,False,0.085,0.0008200499,0.0
8807,False,False,0.01,0.051036224,0.0
8812,False,False,0.055,0.10691728,0.0
13109,False,True,0.475,0.12031146,1.0
13358,False,False,0.25,0.14954737,0.0
13423,False,False,0.01,0.19191575,0.0
14014,False,False,0.33,0.13848247,0.0
14215,False,True,0.555,0.22528931,1.0
14463,False,True,0.43,0.08979329,1.0
14527,False,False,0.005,0.2865082,0.0
15135,False,False,0.31,0.26570112,0.0
19929,False,True,0.51,0.27919677,1.0
20177,False,True,0.415,0.36634082,1.0
20249,False,True,0.82,0.08917844,1.0
20771,False,True,0.38,0.23300683,1.0
20968,True,True,0.045,0.2228505,0.0
21210,True,False,0.14,0.13572739,1.0
21413,True,False,0.035,0.090443455,0.0
22501,True,False,0.075,0.09984073,1.0
22965,True,True,0.56,0.18513605,1.0
23211,True,False,0.345,0.52743196,1.0
23284,True,True,0.075,0.12068247,0.0
23496,True,False,0.3,0.20692694,1.0
24712,False,False,0.005,0.032886237,0.0
24958,False,False,0.055,0.005749309,0.0
25032,False,False,0.01,0.051876128,0.0
25566,False,False,0.085,0.13820255,0.0
28898,True,True,0.525,0.10260993,0.0
29145,True,False,0.535,0.25004902,1.0
29217,True,True,0.91,0.22816153,1.0
29744,True,True,0.375,0.18511197,1.0
29942,True,False,0.6,0.30756336,1.0
30189,True,True,0.385,0.43047714,1.0
30261,True,True,0.795,0.24431448,1.0
30787,True,True,0.42,0.20276053,1.0
32038,True,False,0.58,0.19192407,1.0
32285,True,True,0.425,0.26259625,1.0
32357,True,True,0.825,0.290201,1.0
32886,True,False,0.375,0.23811501,1.0
36229,True,True,0.53,0.15546584,1.0
36476,True,True,0.435,0.38646325,1.0
36549,True,True,0.835,0.311984,1.0
37078,True,True,0.47,0.26537502,1.0
40433,True,True,0.615,0.13654128,1.0
40683,True,False,0.435,0.45438623,1.0
